Number,RA_J2000,DEC_J2000,Pdot_flow,PA
1,83.87383333,-4.980222222,2.90E-06,65
2,83.88175,-5.003888889,1.00E-05,130
3,83.82633333,-5.009166667,6.50E-06,90
4,83.84345833,-5.020583333,2.18E-05,90
5,83.84779167,-5.024638889,1.26E-05,85
6,83.86070833,-5.065305556,1.18E-05,85
7,83.85758333,-5.095444444,9.84E-05,90
8,83.86108333,-5.102861111,1.45E-05,170
9,83.84720833,-5.119388889,9.80E-06,20
10,83.85670833,-5.132583333,1.11E-05,40
11,83.843375,-5.134666667,7.70E-06,45
12,83.85125,-5.141833333,3.61E-05,30
13,83.865125,-5.159305556,1.14E-04,40
14,83.85304167,-5.175055556,1.29E-05,5
15,83.861875,-5.185361111,2.50E-06,175
16,83.84720833,-5.200861111,1.60E-05,75
17,83.83391667,-5.220972222,7.40E-06,155
18,83.836375,-5.223222222,1.38E-05,75
19,83.831125,-5.259083333,1.55E-05,90
20,83.82616667,-5.528361111,3.00E-06,15
21,83.67045833,-5.529,3.50E-06,145
22,83.68358333,-5.690527778,1.70E-06,40
23,83.69558333,-5.747472222,1.30E-06,30
24,83.772875,-5.865111111,1.22E-05,30
25,83.78583333,-5.93175,9.30E-06,160
26,83.805875,-5.966138889,3.16E-05,0
27,83.7875,-5.974333333,1.81E-05,25
28,83.96666667,-6.167166667,9.00E-07,60
29,84.07191667,-6.186388889,1.10E-06,165
30,83.92575,-6.1955,3.00E-06,135
31,84.07845833,-6.3695,5.87E-05,25
32,84.08125,-6.370083333,3.27E-05,0
33,84.04770833,-6.372805556,5.00E-07,175
34,84.10254167,-6.378138889,3.00E-06,80
35,84.091,-6.391611111,5.60E-06,10
36,84.10775,-6.416305556,5.00E-07,40
37,83.95841667,-6.5815,3.90E-06,175
38,84.251875,-6.619583333,4.00E-07,95
39,84.15041667,-6.647777778,2.44E-05,0
40,84.10470833,-6.744944444,1.77E-05,80
41,84.078875,-6.756305556,3.90E-06,0
42,84.09516667,-6.768388889,1.80E-06,135
43,84.09808333,-6.770694444,5.00E-07,75
44,84.12904167,-6.878027778,5.42E-05,150