Shell,RA,DEC,Pdot_mid,Pdot_low,Pdot_hi
#From Feddersen et al. (2018)
# in units of Msun km/s/yr
1,83.7041666667,-4.8614916667,3.00E-04,1.00E-04,5.00E-04
2,83.6140333333,-4.8721277778,1.00E-04,5.00E-05,2.00E-04
3,83.6412583333,-4.9007222222,2.00E-04,1.00E-04,4.00E-04
4,83.8497708333,-4.9209361111,7.00E-04,3.00E-04,1.50E-03
5,83.6909458333,-4.9267944444,2.00E-04,9.00E-05,3.00E-04
6,83.8532250000,-5.0359861111,9.00E-04,9.00E-05,3.40E-03
7,83.7270666667,-5.0777916667,1.60E-03,2.00E-04,4.80E-03
8,83.8844125000,-5.1137111111,6.00E-04,2.00E-04,1.20E-03
9,83.5212500000,-5.1861111111,1.40E-03,8.00E-04,2.00E-03
10,83.9291666667,-5.4630888889,3.30E-03,1.40E-03,5.90E-03
11,83.7890250000,-5.4646722222,1.40E-03,5.00E-04,2.80E-03
12,84.1661750000,-5.4782500000,2.00E-03,1.00E-03,3.80E-03
13,83.6007041667,-5.4834611111,4.00E-04,8.00E-05,1.00E-03
14,83.7529208333,-5.4992777778,1.00E-04,4.00E-05,3.00E-04
15,83.7210416667,-5.5160750000,1.20E-03,5.00E-04,2.30E-03
16,84.1044541667,-5.5606555556,2.00E-04,6.00E-05,5.00E-04
17,83.5070875000,-5.6037861111,2.00E-04,9.00E-05,3.00E-04
18,83.6262166667,-5.6179250000,9.00E-04,5.00E-04,1.50E-03
19,83.8496083333,-5.7657777778,1.17E-02,5.60E-03,2.02E-02
20,83.8259708333,-5.8799944444,7.00E-05,3.00E-05,1.00E-04
21,83.6433958333,-5.9561472222,6.00E-04,2.00E-04,1.70E-03
22,83.7505541667,-5.9881916667,5.00E-04,3.00E-04,7.00E-04
23,84.0341666667,-6.0734916667,4.70E-03,1.80E-03,9.20E-03
24,83.9000000000,-6.0872694444,1.80E-03,4.00E-04,4.50E-03
25,83.8155250000,-6.2561638889,3.00E-04,1.00E-04,6.00E-04
26,84.0530500000,-6.2595750000,1.30E-03,1.00E-03,2.80E-03
27,83.9912500000,-6.3311277778,2.00E-05,0.00E+00,1.00E-04
28,84.0426416667,-6.4019416667,1.00E-03,3.00E-04,2.20E-03
29,84.2065083333,-6.4683388889,2.00E-05,1.00E-05,4.00E-05
30,84.1204291667,-6.4693777778,2.00E-04,9.00E-05,3.00E-04
31,83.9167666667,-6.4974111111,1.30E-03,9.00E-04,1.90E-03
32,83.9914875000,-6.5428500000,1.00E-03,4.00E-04,1.80E-03
33,84.2262083333,-6.5487055556,2.00E-04,8.00E-05,5.00E-04
34,84.1017958333,-6.5834472222,6.00E-04,3.00E-04,1.20E-03
35,84.0445083333,-6.6269388889,2.00E-04,9.00E-05,4.00E-04
36,84.1683916667,-6.6364638889,2.00E-04,4.00E-05,5.00E-04
37,84.2769750000,-6.6389444444,2.00E-03,9.00E-04,3.50E-03
38,83.9487416667,-6.6452361111,1.00E-04,3.00E-05,4.00E-04
39,84.0893375000,-6.7048694444,8.00E-04,1.00E-04,3.00E-03
40,84.0963166667,-6.7074250000,1.00E-04,3.00E-05,5.00E-04
41,84.0183291667,-6.7120194444,4.00E-04,4.00E-05,1.30E-03
42,84.6000000000,-6.7644444444,7.00E-05,2.00E-05,1.00E-04